genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
682,ARAF,2.842074e-01,9.936371e-02,8.129108e-01
4715,FBXO25,2.852957e-01,8.556195e-02,9.512829e-01
5469,GPR85,2.855743e-01,8.365340e-02,9.748879e-01
623,APBB1IP,2.865093e-01,8.296799e-02,9.893887e-01
12285,SSH2,2.886221e-01,9.584771e-02,8.691155e-01
7568,MAPKAPK2,2.892393e-01,9.573179e-02,8.738932e-01
13198,TNF,2.900391e-01,8.729793e-02,9.636277e-01
12715,TEAD1,2.909843e-01,8.642829e-02,9.796779e-01
2285,CCDC152,2.914277e-01,9.980924e-02,8.509243e-01
8355,NBPF10,2.937665e-01,1.018453e-01,8.473516e-01
5361,GNS,2.945075e-01,9.632794e-02,9.004103e-01
6110,IFI30,2.961636e-01,9.905503e-02,8.854967e-01
2368,CCL22,2.981532e-01,9.001661e-02,9.875436e-01
7017,LILRB5,3.001619e-01,9.924434e-02,9.078319e-01
8579,NINJ1,3.005138e-01,1.016934e-01,8.880477e-01
12750,TFAP2E,3.020581e-01,9.635636e-02,9.468925e-01
14516,ZNF322A,3.025947e-01,9.957645e-02,9.195304e-01
100,ACADL,3.035233e-01,1.059265e-01,8.697199e-01
13181,TNFRSF1B,3.040650e-01,1.024180e-01,9.027274e-01
7024,LIMK2,3.071896e-01,1.042713e-01,9.049986e-01
8649,NOD2,3.071973e-01,1.064806e-01,8.862666e-01
12760,TFEC,3.073521e-01,1.042702e-01,9.059667e-01
4661,FARP2,3.079135e-01,1.099455e-01,8.623426e-01
12438,SUB1,3.081136e-01,1.023184e-01,9.278295e-01
8150,MTMR12,3.085625e-01,1.063029e-01,8.956562e-01
6887,LAIR1,3.089744e-01,1.061051e-01,8.997224e-01
1494,C15orf39,3.095003e-01,1.049775e-01,9.124854e-01
6823,KL,3.099106e-01,1.080926e-01,8.885402e-01
11747,SLC29A1,3.099643e-01,1.081635e-01,8.882654e-01
13596,TXNDC5,3.101948e-01,1.088612e-01,8.838855e-01
7041,LITAF,3.109896e-01,1.076623e-01,8.983137e-01
11143,SAMSN1,3.110175e-01,1.062996e-01,9.099928e-01
3384,CYP17A1,3.117598e-01,1.054218e-01,9.219553e-01
4933,FOLR1,3.124227e-01,1.075415e-01,9.076307e-01
14219,ZBTB1,3.124739e-01,1.092244e-01,8.939392e-01
8384,NCKAP1L,3.128482e-01,1.050583e-01,9.316163e-01
10499,RASSF4,3.128820e-01,1.071716e-01,9.134429e-01
12896,TLR8,3.129262e-01,1.018538e-01,9.614050e-01
519,ANKRD13A,3.131180e-01,1.117599e-01,8.772639e-01
11866,SLC7A10,3.136544e-01,1.046977e-01,9.396497e-01
4981,FRMD4A,3.139374e-01,1.067831e-01,9.229617e-01
4005,EEA1,3.139549e-01,1.071199e-01,9.201622e-01
10616,RENBP,3.150030e-01,1.047769e-01,9.470302e-01
9728,PNPLA7,3.151214e-01,1.119626e-01,8.869163e-01
7961,MPEG1,3.152215e-01,1.070980e-01,9.277914e-01
6387,ITGAX,3.153262e-01,1.054021e-01,9.433457e-01
11318,SELENBP1,3.153711e-01,1.083318e-01,9.180957e-01
11154,SARDH,3.158519e-01,1.090534e-01,9.148032e-01
8615,NLRC4,3.160285e-01,1.050965e-01,9.503078e-01
723,ARHGAP30,3.164267e-01,1.059250e-01,9.452524e-01
7491,MAN1A1,3.166106e-01,1.108096e-01,9.046354e-01
4854,FKBP15,3.166378e-01,1.059466e-01,9.463213e-01
5970,HP,3.168189e-01,1.081386e-01,9.281993e-01
5245,GIT2,3.170949e-01,1.093322e-01,9.196667e-01
8693,NPC2,3.173719e-01,1.073323e-01,9.384398e-01
5488,GPSM3,3.177562e-01,1.154958e-01,8.742226e-01
2095,CACNA2D2,3.177654e-01,1.080456e-01,9.345579e-01
3813,DOCK4,3.179884e-01,1.081458e-01,9.350031e-01
818,ARRB2,3.181783e-01,1.062668e-01,9.526720e-01
3639,DHRS3,3.182455e-01,1.153389e-01,8.781098e-01
458,AMACR,3.187226e-01,1.087670e-01,9.339610e-01
3811,DOCK2,3.188501e-01,1.070308e-01,9.498704e-01
8083,MS4A7,3.191341e-01,1.074932e-01,9.474703e-01
2461,CD302,3.192271e-01,1.140454e-01,8.935559e-01
14746,ZNF677,3.196942e-01,1.079778e-01,9.465316e-01
2846,CLCN7,3.199718e-01,1.113859e-01,9.191640e-01
5202,GFOD1,3.201570e-01,1.161542e-01,8.824523e-01
3106,CPAMD8,3.203819e-01,1.108179e-01,9.262456e-01
5854,HLA-DRA,3.210072e-01,1.076713e-01,9.570385e-01
6702,KIAA2018,3.210127e-01,1.117543e-01,9.221045e-01
9508,PIK3IP1,3.213399e-01,1.117085e-01,9.243638e-01
2129,CAMK2G,3.214684e-01,1.193802e-01,8.656538e-01
8381,NCF4,3.219244e-01,1.101777e-01,9.406198e-01
11989,SNCA,3.219929e-01,1.106281e-01,9.371890e-01
5268,GLCCI1,3.222075e-01,1.116128e-01,9.301593e-01
9322,PDZRN3,3.224490e-01,1.112193e-01,9.348495e-01
10107,PSAP,3.226457e-01,1.080544e-01,9.634055e-01
7507,MAOB,3.229576e-01,1.047791e-01,9.954427e-01
3748,DNAJB12,3.229848e-01,1.099999e-01,9.483565e-01
1491,C15orf27,3.229930e-01,1.045800e-01,9.975564e-01
11636,SLA,3.235153e-01,1.079819e-01,9.692562e-01
6747,KIRREL,3.237581e-01,1.160229e-01,9.034363e-01
14310,ZEB2,3.237981e-01,1.108565e-01,9.457737e-01
2369,CCL23,3.242159e-01,1.113185e-01,9.442804e-01
3947,DYRK2,3.248323e-01,1.106722e-01,9.534104e-01
5850,HLA-DQA1,3.248430e-01,1.097108e-01,9.618281e-01
12889,TLR1,3.248710e-01,1.099879e-01,9.595710e-01
12450,SULT1A2,3.256484e-01,1.117036e-01,9.493591e-01
7248,LPCAT3,3.257272e-01,1.087797e-01,9.753492e-01
12498,SYN1,3.257968e-01,1.090918e-01,9.729747e-01
1423,C12orf4,3.258436e-01,1.134214e-01,9.361026e-01
14663,ZNF564,3.259115e-01,1.108592e-01,9.581375e-01
8756,NRN1,3.260757e-01,1.110589e-01,9.573780e-01
7434,M6PR,3.261575e-01,1.115347e-01,9.537726e-01
2882,CLIC6,3.262440e-01,1.096568e-01,9.706208e-01
4937,FOSL2,3.265423e-01,1.133420e-01,9.407802e-01
10228,PTPN22,3.266829e-01,1.104113e-01,9.665835e-01
9218,PCNX,3.267748e-01,1.115341e-01,9.573914e-01
11675,SLC19A3,3.273785e-01,1.092077e-01,9.814022e-01
10677,RGS18,3.276152e-01,1.101729e-01,9.742118e-01
8876,OAF,3.278554e-01,1.109418e-01,9.688792e-01
5119,GAPVD1,3.282058e-01,1.160967e-01,9.278392e-01
10423,RAI14,3.285376e-01,1.132387e-01,9.531813e-01
5852,HLA-DQB1,3.288700e-01,1.101910e-01,9.815276e-01
10058,PRPF4B,3.293350e-01,1.124935e-01,9.641580e-01
145,ACP5,3.294745e-01,1.115745e-01,9.729235e-01
579,ANXA11,3.295853e-01,1.147692e-01,9.464775e-01
9659,PLEK,3.297369e-01,1.114027e-01,9.759762e-01
14473,ZNF254,3.301793e-01,1.168753e-01,9.327753e-01
7094,LOC100190938,3.303886e-01,1.111743e-01,9.818514e-01
708,ARHGAP15,3.304784e-01,1.103596e-01,9.896372e-01
5857,HLA-DRB6,3.305509e-01,1.104699e-01,9.890832e-01
994,ATP8B4,3.306513e-01,1.120277e-01,9.759224e-01
6192,IL16,3.306933e-01,1.101635e-01,9.926891e-01
9003,P2RX7,3.311946e-01,1.118030e-01,9.810997e-01
6176,IKZF1,3.316578e-01,1.104606e-01,9.958020e-01
12959,TMEM119,3.317732e-01,1.131731e-01,9.726116e-01
10613,RELN,3.317933e-01,1.134882e-01,9.700288e-01
10239,PTPRC,3.318113e-01,1.117504e-01,9.852200e-01
5373,GOLGA8A,3.318343e-01,1.128543e-01,9.757186e-01
4956,FOXO1,3.318992e-01,1.157692e-01,9.515234e-01
12002,SNN,3.321036e-01,1.144841e-01,9.633898e-01
13100,TMEM59,3.322232e-01,1.119837e-01,9.856099e-01
5314,GMFG,3.327945e-01,1.108323e-01,9.992770e-01
11329,SEMA3B,3.335450e-01,1.131420e-01,9.832976e-01
6344,IRF8,3.337766e-01,1.116956e-01,9.974149e-01
1429,C12orf62,3.342314e-01,1.178778e-01,9.476816e-01
9382,PGAP3,3.345530e-01,1.175220e-01,9.523810e-01
8099,MSR1,3.349251e-01,1.147283e-01,9.777438e-01
10016,PRKCQ,3.351420e-01,1.170762e-01,9.593767e-01
3776,DNAJC3,3.357137e-01,1.155985e-01,9.749577e-01
3469,DCAF12,3.366815e-01,1.154371e-01,9.819577e-01
2922,CMKLR1,3.372656e-01,1.147393e-01,9.913615e-01
7776,MFHAS1,3.375940e-01,1.187368e-01,9.598512e-01
3207,CSF1R,3.379012e-01,1.155415e-01,9.881925e-01
9936,PPP3CC,3.379131e-01,1.144596e-01,9.976029e-01
480,AMY1A,3.383515e-01,1.199971e-01,9.540374e-01
3821,DOK2,3.397668e-01,1.156005e-01,9.986245e-01
9693,PLXNC1,3.400745e-01,1.164431e-01,9.931948e-01
5765,HGF,3.414121e-01,1.186942e-01,9.820379e-01
10183,PTENP1,3.415134e-01,1.181543e-01,9.871106e-01
13894,VEGFB,3.422723e-01,1.173839e-01,9.980103e-01
10737,RIN3,3.423594e-01,1.192474e-01,9.829139e-01
2117,CALM1,3.429804e-01,1.177444e-01,9.990753e-01
4042,EFTUD1,3.430113e-01,1.189007e-01,9.895385e-01
12073,SNX33,3.437102e-01,1.196851e-01,9.870632e-01
7051,LMBRD1,3.438760e-01,1.230877e-01,9.607032e-01
6385,ITGAM,3.440015e-01,1.186745e-01,9.971562e-01
8325,NAP1L5,3.441080e-01,1.219508e-01,9.709680e-01
8430,NDRG2,3.441554e-01,1.195207e-01,9.909829e-01
12759,TFEB,3.444682e-01,1.187831e-01,9.989500e-01
2751,CHID1,3.446728e-01,1.207446e-01,9.838891e-01
10256,PTRF,3.462626e-01,1.213193e-01,9.882829e-01
3391,CYP27A1,3.468113e-01,1.235830e-01,9.732573e-01
6179,IKZF4,3.474252e-01,1.258222e-01,9.593244e-01
6326,IQSEC1,3.477721e-01,1.210777e-01,9.989075e-01
11900,SLIT2,3.479421e-01,1.226569e-01,9.870108e-01
14429,ZNF189,3.484890e-01,1.215628e-01,9.990280e-01
7601,MAST3,3.495436e-01,1.243605e-01,9.824719e-01
1270,BRD4,3.509291e-01,1.232080e-01,9.995393e-01
6226,IL34,3.524011e-01,1.271369e-01,9.767940e-01
1252,BOK,3.541459e-01,1.279307e-01,9.803692e-01
2843,CLCN4,3.617617e-01,1.316956e-01,9.937430e-01
11657,SLC16A10,3.617788e-01,1.354239e-01,9.664755e-01
4578,FAM46B,3.757709e-01,1.465839e-01,9.632962e-01
11499,SGK3,3.797568e-01,1.450629e-01,9.941563e-01
10399,RAD18,2.086375e+00,1.012336e+00,4.299916e+00
12252,SRM,2.091526e+00,1.002669e+00,4.362835e+00
8329,NAPG,2.091571e+00,1.002514e+00,4.363702e+00
13497,TTC15,2.096203e+00,1.004438e+00,4.374651e+00
